Gene.primaryIdentifier	Gene.featureType	Gene.qualifier	Gene.secondaryIdentifier	Gene.symbol	Gene.sgdAlias	Gene.featAttribute	Gene.length	Gene.chromosomeLocation.locatedOn.primaryIdentifier	Gene.locations.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.geneSummary	Gene.status	Gene.organism.commonName	Gene.description
S000000001	ORF	Verified	YAL001C	TFC3	FUN24 tau 138 transcription factor TFIIIC subunit TFC3 TSV115	null	3573	chrI	147594	151166	-1	null	Active	null	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
S000000002	ORF	Verified	YAL002W	VPS8	CORVET complex membrane-binding subunit VPS8 FUN15 VPL8 VPT8	null	3825	chrI	143707	147531	1	null	Active	null	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
S000000003	ORF	Verified	YAL003W	EFB1	eEF1Balpha EF-1beta TEF5 translation elongation factor 1 subunit beta	null	987	chrI	142174	143160	1	null	Active	null	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
S000000004	ORF	Verified	YAL005C	SSA1	Hsp70 family ATPase SSA1 YG100	null	1929	chrI	139503	141431	-1	null	Active	null	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
S000000005	ORF	Verified	YAL007C	ERP2	null	null	648	chrI	137698	138345	-1	null	Active	null	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
S000000006	ORF	Verified	YAL008W	FUN14	MCP3	null	597	chrI	136914	137510	1	null	Active	null	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
S000000007	ORF	Verified	YAL009W	SPO7	Nem1-Spo7 phosphatase regulatory subunit SPO7	null	780	chrI	135854	136633	1	null	Active	null	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
S000000008	ORF	Verified	YAL010C	MDM10	FUN37	null	1482	chrI	134184	135665	-1	null	Active	null	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
S000000009	ORF	Verified	YAL011W	SWC3	SWC1	null	1878	chrI	132199	134076	1	null	Active	null	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
S000000010	ORF	Verified	YAL012W	CYS3	CYI1 cystathionine gamma-lyase CYS3 FUN35 STR1	null	1185	chrI	130799	131983	1	null	Active	null	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
S000000011	ORF	Verified	YAL013W	DEP1	FUN54 Rpd3L histone deacetylase complex subunit DEP1	null	1218	chrI	129270	130487	1	null	Active	null	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
S000000012	ORF	Verified	YAL014C	SYN8	SLT2 syntaxin UIP2	null	768	chrI	128252	129019	-1	null	Active	null	Endosomal SNARE related to mammalian syntaxin 8
